trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/optimizer,config/n_disc_steps,config/clip_value
49042_00058,0.6931472420692444,1723783521,,True,1,2024-08-16_00-45-21,71.79684019088745,71.79684019088745,182346,WUSSYRD230001,172.27.161.222,71.79684019088745,1,"58_batch_size=64,clip_value=0.0013,hidden_dim=32,lr_d=0.0013,lr_g=0.0025,n_disc_steps=1,optimizer=adam",0.0024802143094731044,0.0013216677536724182,64,32,adam,1,0.001263710394120805
49042_00059,0.6931347846984863,1723783699,,True,1,2024-08-16_00-48-19,241.7066662311554,241.7066662311554,182720,WUSSYRD230001,172.27.161.222,241.7066662311554,1,"59_batch_size=32,clip_value=0.0018,hidden_dim=128,lr_d=0.0000,lr_g=0.0003,n_disc_steps=3,optimizer=rmsprop",0.00027983247342045175,4.5340341861458714e-05,32,128,rmsprop,3,0.0018328634259326538
49042_00060,0.6931472420692444,1723783585,,True,1,2024-08-16_00-46-25,61.48248839378357,61.48248839378357,183555,WUSSYRD230001,172.27.161.222,61.48248839378357,1,"60_batch_size=256,clip_value=0.0015,hidden_dim=16,lr_d=0.0016,lr_g=0.0059,n_disc_steps=1,optimizer=adam",0.005900128498651525,0.0015731790724088654,256,16,adam,1,0.0015403036335557394
49042_00061,0.6931472420692444,1723783757,,True,1,2024-08-16_00-49-17,167.89858627319336,167.89858627319336,184361,WUSSYRD230001,172.27.161.222,167.89858627319336,1,"61_batch_size=64,clip_value=0.0020,hidden_dim=64,lr_d=0.0001,lr_g=0.0018,n_disc_steps=3,optimizer=adam",0.0018449996848324357,5.637597018804979e-05,64,64,adam,3,0.0019799116111022044
49042_00062,0.6931471228599548,1723783797,,True,1,2024-08-16_00-49-57,95.06189370155334,95.06189370155334,185546,WUSSYRD230001,172.27.161.222,95.06189370155334,1,"62_batch_size=32,clip_value=0.0027,hidden_dim=64,lr_d=0.0015,lr_g=0.0055,n_disc_steps=1,optimizer=adam",0.005501258902365518,0.0015227642400019172,32,64,adam,1,0.0027171637668551535
49042_00063,0.6925557851791382,1723783995,,True,1,2024-08-16_00-53-15,234.77889847755432,234.77889847755432,186308,WUSSYRD230001,172.27.161.222,234.77889847755432,1,"63_batch_size=128,clip_value=0.0012,hidden_dim=64,lr_d=0.0038,lr_g=0.0001,n_disc_steps=5,optimizer=rmsprop",0.00010427058389811271,0.003798799374088263,128,64,rmsprop,5,0.0011678650168557333
49042_00064,0.6931600570678711,1723784026,,True,1,2024-08-16_00-53-46,225.71530318260193,225.71530318260193,186928,WUSSYRD230001,172.27.161.222,225.71530318260193,1,"64_batch_size=64,clip_value=0.0064,hidden_dim=16,lr_d=0.0020,lr_g=0.0104,n_disc_steps=5,optimizer=rmsprop",0.010352362103816702,0.0020069405120757833,64,16,rmsprop,5,0.006445992151777466
49042_00065,0.6931474208831787,1723784147,,True,1,2024-08-16_00-55-47,148.7906904220581,148.7906904220581,188765,WUSSYRD230001,172.27.161.222,148.7906904220581,1,"65_batch_size=256,clip_value=0.0010,hidden_dim=64,lr_d=0.0001,lr_g=0.0083,n_disc_steps=3,optimizer=adam",0.008318879081627548,5.459155899002479e-05,256,64,adam,3,0.001040859700946515
49042_00066,0.6931068897247314,1723784662,,True,1,2024-08-16_01-04-22,633.2093358039856,633.2093358039856,189312,WUSSYRD230001,172.27.161.222,633.2093358039856,1,"66_batch_size=384,clip_value=0.0016,hidden_dim=16,lr_d=0.0000,lr_g=0.0000,n_disc_steps=3,optimizer=adam",4.794318625956098e-05,3.156800326788057e-05,384,16,adam,3,0.0016039033098485841
49042_00067,0.6937612295150757,1723784233,,True,1,2024-08-16_00-57-13,82.56174564361572,82.56174564361572,190334,WUSSYRD230001,172.27.161.222,82.56174564361572,1,"67_batch_size=64,clip_value=0.0012,hidden_dim=16,lr_d=0.0146,lr_g=0.0013,n_disc_steps=1,optimizer=adam",0.001345398504546264,0.01461069313716663,64,16,adam,1,0.0012226623929443002
49042_00068,0.6931391954421997,1723784320,,True,1,2024-08-16_00-58-40,84.16496229171753,84.16496229171753,191186,WUSSYRD230001,172.27.161.222,84.16496229171753,1,"68_batch_size=256,clip_value=0.0042,hidden_dim=128,lr_d=0.0036,lr_g=0.0001,n_disc_steps=1,optimizer=rmsprop",7.249180507364228e-05,0.003642766818150718,256,128,rmsprop,1,0.004190019025550718
49042_00069,0.6933814883232117,1723784747,,True,1,2024-08-16_01-05-47,423.0211799144745,423.0211799144745,191993,WUSSYRD230001,172.27.161.222,423.0211799144745,1,"69_batch_size=64,clip_value=0.0034,hidden_dim=128,lr_d=0.0026,lr_g=0.0003,n_disc_steps=5,optimizer=rmsprop",0.0003306909021208751,0.0026029391952937294,64,128,rmsprop,5,0.003356503681660777
49042_00070,0.6931483149528503,1723784746,,True,1,2024-08-16_01-05-46,81.23012137413025,81.23012137413025,194257,WUSSYRD230001,172.27.161.222,81.23012137413025,1,"70_batch_size=32,clip_value=0.0025,hidden_dim=16,lr_d=0.0023,lr_g=0.0000,n_disc_steps=1,optimizer=adam",2.4648895973232247e-05,0.002301639474081119,32,16,adam,1,0.0025492847123950732
49042_00071,0.693169355392456,1723784906,,True,1,2024-08-16_01-08-26,157.2829029560089,157.2829029560089,195215,WUSSYRD230001,172.27.161.222,157.2829029560089,1,"71_batch_size=384,clip_value=0.0048,hidden_dim=128,lr_d=0.0061,lr_g=0.0010,n_disc_steps=3,optimizer=adam",0.0009819802001895521,0.006145209215056754,384,128,adam,3,0.004841700897897978
49042_00072,0.6931469440460205,1723784813,,True,1,2024-08-16_01-06-53,63.10972547531128,63.10972547531128,195285,WUSSYRD230001,172.27.161.222,63.10972547531128,1,"72_batch_size=256,clip_value=0.0011,hidden_dim=64,lr_d=0.0005,lr_g=0.0001,n_disc_steps=1,optimizer=rmsprop",7.088249613669263e-05,0.0005470547720960323,256,64,rmsprop,1,0.0011126536415308555
49042_00073,0.6931049823760986,1723785131,,True,1,2024-08-16_01-12-11,315.2859799861908,315.2859799861908,196342,WUSSYRD230001,172.27.161.222,315.2859799861908,1,"73_batch_size=32,clip_value=0.0024,hidden_dim=64,lr_d=0.0012,lr_g=0.0000,n_disc_steps=5,optimizer=rmsprop",4.347627390899418e-05,0.0011532690570500849,32,64,rmsprop,5,0.0024379016010839176
49042_00074,0.6931478977203369,1723785090,,True,1,2024-08-16_01-11-30,180.06576943397522,180.06576943397522,197372,WUSSYRD230001,172.27.161.222,180.06576943397522,1,"74_batch_size=256,clip_value=0.0050,hidden_dim=64,lr_d=0.0002,lr_g=0.0136,n_disc_steps=5,optimizer=rmsprop",0.013580190822183676,0.00015213880620392633,256,64,rmsprop,5,0.004970090043876871
49042_00075,0.6931474208831787,1723785154,,True,1,2024-08-16_01-12-34,60.722509145736694,60.722509145736694,199073,WUSSYRD230001,172.27.161.222,60.722509145736694,1,"75_batch_size=256,clip_value=0.0032,hidden_dim=32,lr_d=0.0180,lr_g=0.0034,n_disc_steps=1,optimizer=adam",0.00340779551334918,0.017974840629553034,256,32,adam,1,0.0031502555826211512
49042_00076,0.6931469440460205,1723785253,,True,1,2024-08-16_01-14-13,119.39898538589478,119.39898538589478,199699,WUSSYRD230001,172.27.161.222,119.39898538589478,1,"76_batch_size=64,clip_value=0.0016,hidden_dim=128,lr_d=0.0087,lr_g=0.0024,n_disc_steps=1,optimizer=adam",0.0024334232294712333,0.008701819834730866,64,128,adam,1,0.0016027481920143096
49042_00077,0.6931473016738892,1723785358,,True,1,2024-08-16_01-15-58,200.7500467300415,200.7500467300415,200188,WUSSYRD230001,172.27.161.222,200.7500467300415,1,"77_batch_size=256,clip_value=0.0049,hidden_dim=32,lr_d=0.0011,lr_g=0.0001,n_disc_steps=5,optimizer=adam",6.828243613760644e-05,0.001060189733847847,256,32,adam,5,0.004904690692067984
